id,desc,manufacturer,calories,carbs,fat,protein
1001,"Butter, salted",,717,0.06,81.11,0.85
1002,"Butter, whipped, with salt",,731,0.0,78.3,0.49
1003,"Butter oil, anhydrous",,876,0.0,99.48,0.28
1004,Blue Cheese,,353,2.34,28.74,21.4
1005,Brick Cheese,,371,2.79,29.68,23.24
1006,Brie,,334,0.45,27.68,20.75
1007,Camembert,,300,0.46,24.26,19.8
1008,Caraway Cheese,,376,3.06,29.2,25.18
1009,Cheddar Cheese,,403,3.37,33.31,22.87
1010,Cheshire Cheese,,387,4.78,30.6,23.37
1011,Colby,,394,2.57,32.11,23.76
1012,Cottage Cheese,,98,3.38,4.3,11.12
1013,Cottage Cheese with fruit,,97,4.61,3.85,10.69
1014,"Cottage Cheese, nonfat, uncreamed",,72,6.66,0.29,10.34
1015,"Cottage Cheese, lowfat 2%",,81,4.76,2.27,10.45
1016,"Cottage Cheese, lowfat 1% milkfat",,72,2.72,1.02,12.39
1017,"Cream Cheese, ",,350,5.52,34.44,6.15
1018,Edam cheese,,357,1.43,28.57,24.99
1019,Feta cheese,,265,3.88,21.49,14.21
1020,Fontina,,389,1.55,31.14,25.6
1021,Gjetost,,466,42.65,29.51,9.65
1022,Gouda,,356,2.22,27.44,24.94
1023,Gruyere,,413,0.36,32.34,29.81
1024,Limburger,,327,0.49,27.25,20.05
1025,Monterey,,373,0.68,30.28,24.48
1026,"Mozzarella, whole milk",,299,2.4,22.14,22.17
1028,"Mozzarella, part skim milk",,254,2.77,15.92,24.26
1030,Muenster,,368,1.12,30.04,23.41
1031,Neufchatel,,253,3.59,22.78,9.15
1032,"Parmesan, grated",,420,13.91,27.84,28.42
1033,"Parmesan, hard",,392,3.22,25.0,35.75
1034,Port de salut,,352,0.57,28.2,23.78
1035,Provolone,,351,2.14,26.62,25.58
1036,"Ricotta, whole milk",,150,7.27,10.18,7.54
1037,"Ricotta, part skim milk",,138,5.14,7.91,11.39
1038,Romano,,387,3.63,26.94,31.8
1039,Roquefort,,369,2.0,30.64,21.54
1040,Swiss Cheese,,393,1.44,30.99,26.96
1041,Tilsit,,340,1.88,25.98,24.41
1042,American Cheese with vitamin D,,366,4.78,30.71,18.13
1043,Pimento Cheese,,375,1.73,31.2,22.13
1044,Swiss Cheese (Pasteurized Processed),,334,2.1,25.01,24.73
1045,"Cheese food, cold pack, American",,331,8.32,24.46,19.66
1046,"Cheese food, pasteurized process, American, vitamin D fortified",,330,8.56,25.63,16.86
1047,"Cheese food, pasteurized process, swiss",,323,4.5,24.14,21.92
1048,"Cheese spread, pasteurized process, American",,290,8.73,21.23,16.41
1049,"Cream, fluid, half and half",,131,4.3,11.5,3.13
1050,"Cream, fluid, light (coffee cream or table cream)",,195,3.66,19.1,2.96
1052,"Cream, fluid, light whipping",,292,2.96,30.91,2.17
1053,"Cream, fluid, heavy whipping",,340,2.84,36.08,2.84
1054,"Cream, whipped, cream topping, pressurized",,257,12.49,22.22,3.2
1055,"Cream, sour, reduced fat, cultured",,135,4.26,12.0,2.94
1056,"Cream, sour, cultured",,198,4.63,19.35,2.44
1057,Eggnog,,88,8.05,4.19,4.55
1058,"Sour dressing, non-butterfat, cultured, filled cream-type",,178,4.68,16.57,3.25
1059,"Milk, filled, fluid, with blend of hydrogenated vegetable oils",,63,4.74,3.46,3.33
1060,"Milk, filled, fluid, with lauric acid oil",,63,4.74,3.4,3.33
1061,American (nonfat or fat free),,126,10.53,0.0,21.05
1064,"Yogurt, Greek, 2% fat, apricot, CHOBANI",Chobani,93,12.15,1.71,7.22
1065,"Yogurt, Greek, 2%fat, coconut blend, CHOBANI",Chobani,92,11.04,1.71,8.11
1067,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",,136,11.38,9.97,1.0
1068,"Cream substitute, liquid, with lauric acid oil and sodium caseinate",,136,11.38,9.97,1.0
1069,"Cream substitute, powdered",,529,59.29,32.92,2.48
1070,"Dessert topping, powdered",,577,52.54,39.92,4.9
1071,"Dessert topping, powdered, 1.5 ounce prepared with 1/2 cup milk",,194,17.13,12.72,3.61
1072,"Dessert topping, pressurized",,264,16.07,22.3,0.98
1073,"Dessert topping, semi solid, frozen",,318,23.05,25.31,1.25
1074,"Sour cream, imitation, cultured",,208,6.63,19.52,2.4
1076,"Milk substitutes, fluid, with lauric acid oil",,61,6.16,3.41,1.75
1077,"Milk, whole, 3.25% milkfat, with added vitamin D",,61,4.8,3.25,3.15
1078,"Milk, producer, fluid, 3.7% milkfat",,64,4.65,3.66,3.28
1079,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",,50,4.8,1.98,3.3
1081,"Milk, reduced fat, fluid, 2% milkfat, protein fortified, with added vitamin A and vitamin D",,56,5.49,1.98,3.95
1082,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",,42,4.99,0.97,3.37
1084,"Milk, lowfat, fluid, 1% milkfat, protein fortified, with added vitamin A and vitamin D",,48,5.52,1.17,3.93
1085,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",,34,4.96,0.08,3.37
1087,"Milk, nonfat, fluid, protein fortified, with added vitamin A and vitamin D (fat free and skim)",,41,5.56,0.25,3.96
1088,"Milk, buttermilk, fluid, cultured, lowfat",,40,4.79,1.07,3.31
1089,"Milk, low sodium, fluid",,61,4.46,3.46,3.1
1090,"Milk, dry, whole, with added vitamin D",,496,38.42,26.71,26.32
1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",,362,51.98,0.77,36.16
1092,"Milk, dry, nonfat, instant, with added vitamin A and vitamin D",,358,52.19,0.72,35.1
1093,"Milk, dry, nonfat, calcium reduced",,354,51.8,0.2,35.5
1094,"Milk, buttermilk, dried",,387,49.0,5.78,34.3
1095,"Milk, canned, condensed, sweetened",,321,54.4,8.7,7.91
1096,"Milk, canned, evaporated, with added vitamin D and without added vitamin A",,134,10.04,7.56,6.81
1097,"Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",,78,11.35,0.2,7.55
1102,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",,83,10.34,3.39,3.17
1103,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",,76,12.13,1.9,2.99
1104,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",,64,10.15,1.11,3.46
1105,"Milk, chocolate beverage, hot cocoa, homemade",,77,10.74,2.34,3.52
1106,"Milk, goat, fluid, with added vitamin D",,69,4.45,4.14,3.56
1107,"Milk, human, mature, fluid",,70,6.89,4.38,1.03
1108,"Milk, indian buffalo, fluid",,97,5.18,6.89,3.75
1109,"Milk, sheep, fluid",,108,5.36,7.0,5.98
1110,"Milk shakes, thick chocolate",,119,21.15,2.7,3.05
1111,"Milk shakes, thick vanilla",,112,17.75,3.03,3.86
1112,"Whey, acid, fluid",,24,5.12,0.09,0.76
1113,"Whey, acid, dried",,339,73.45,0.54,11.73
1114,"Whey, sweet, fluid",,27,5.14,0.36,0.85
1115,"Whey, sweet, dried",,353,74.46,1.07,12.93
1116,"Yogurt, plain, whole milk",,61,4.66,3.25,3.47
1117,"Yogurt, plain, low fat",,63,7.04,1.55,5.25
1118,"Yogurt, plain, skim milk",,56,7.68,0.18,5.73
1119,"Yogurt, vanilla, low fat.",,85,13.8,1.25,4.93
1120,"Yogurt, fruit, low fat,9 g protein/8 oz",,99,18.64,1.15,3.98
1121,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce",,102,19.05,1.08,4.37
1122,"Yogurt, fruit, low fat, 11g protein/8 oz",,105,18.6,1.41,4.86
1123,"Egg, whole, raw, fresh",,143,0.72,9.51,12.56
1124,"Egg, white, raw, fresh",,52,0.73,0.17,10.9
1125,"Egg, yolk, raw, fresh",,322,3.59,26.54,15.86
1126,"Egg, yolk, raw, frozen, pasteurized",,296,0.81,25.6,15.53
1127,"Egg, yolk, raw, frozen, sugared, pasteurized",,307,10.95,22.82,13.87
1128,"Egg, whole, cooked, fried",,196,0.83,14.84,13.61
1129,"Egg, whole, cooked, hard-boiled",,155,1.12,10.61,12.58
1130,"Egg, whole, cooked, omelet",,154,0.64,11.66,10.57
1131,"Egg, whole, cooked, poached",,143,0.71,9.47,12.51
1132,"Egg, whole, cooked, scrambled",,149,1.61,10.98,9.99
1133,"Egg, whole, dried",,592,1.13,43.9,48.05
1134,"Egg, whole, dried, stabilized, glucose reduced",,615,2.38,43.95,48.17
1135,"Egg, white, dried, flakes, stabilized, glucose reduced",,351,4.17,0.04,76.92
1136,"Egg, white, dried, powder, stabilized, glucose reduced",,376,4.47,0.04,82.4
1137,"Egg, yolk, dried",,669,0.66,59.13,33.63
1138,"Egg, duck, whole, fresh, raw",,185,1.45,13.77,12.81
1139,"Egg, goose, whole, fresh, raw",,185,1.35,13.27,13.87
1140,"Egg, quail, whole, fresh, raw",,158,0.41,11.09,13.05
1141,"Egg, turkey, whole, fresh, raw",,171,1.15,11.88,13.68
1144,"Egg substitute, powder",,444,21.8,13.0,55.5
1145,"Butter, without salt",,717,0.06,81.11,0.85
1146,"Parmesan, shredded",,415,3.41,27.34,37.86
1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",,35,4.86,0.18,3.37
1153,"Milk, canned, evaporated, with added vitamin A",,134,10.04,7.56,6.81
1154,"Milk, dry, nonfat, regular, with added vitamin A and vitamin D",,362,51.98,0.77,36.16
1155,"Milk, dry, nonfat, instant, without added vitamin A and vitamin D",,358,52.19,0.72,35.1
1156,"Goat, hard",,452,2.17,35.59,30.52
1157,"Goat, semisoft",,364,0.12,29.84,21.58
1158,"Yogurt, Greek, 2% fat, key lime blend, CHOBANI",Chobani,92,11.91,1.47,7.75
1159,"Goat, soft",,264,0.0,21.08,18.52
1160,"Egg, yolk, raw, frozen, salted, pasteurized",,275,1.77,22.93,14.07
1161,"Cheese substitute, mozzarella",,248,23.67,12.22,11.47
1162,"Yogurt, Greek, 2% fat, mango, CHOBANI",Chobani,93,11.84,1.69,7.64
1164,"Cheese sauce, prepared from recipe",,197,5.48,14.92,10.33
1165,Queso Anejo,,373,4.63,29.98,21.44
1166,Queso Asadero,,356,4.13,25.0,22.6
1167,Queso Chihuahua,,374,5.56,29.68,21.56
1168,Cheddar or Colby (Low Fat),,173,1.91,7.0,24.35
1169,Cheddar or Colby (Low Sodium),,398,1.91,32.62,24.35
1171,"Egg, whole, raw, frozen, pasteurized (Includes foods for USDA's Food Distribution Program)",,147,1.01,9.95,12.33
1172,"Egg, white, raw, frozen, pasteurized",,48,1.04,0.0,10.2
1173,"Egg, white, dried",,382,7.8,0.0,81.1
1174,"Milk, reduced fat, fluid, 2% milkfat, without added vitamin A and vitamin D",,50,4.8,1.98,3.3
1175,"Milk, fluid, 1% fat, without added vitamin A and vitamin D",,42,4.99,0.97,3.37
1178,"Sour cream, reduced fat",,181,7.0,14.1,7.0
1179,"Sour cream, light",,136,7.1,10.6,3.5
1180,"Sour cream, fat free",,74,15.6,0.0,3.1
1184,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener",,43,7.5,0.18,3.86
1185,"Parmesan cheese topping, fat free",,370,40.0,5.0,40.0
1186,Cream Cheese (Fat Free),,105,7.66,1.0,15.69
1187,"Yogurt, chocolate, nonfat milk",,112,23.53,0.0,3.53
1188,Cheez Whiz,"Kraft Foods, Inc.",276,9.2,21.0,12.0
1189,Cheez Whiz Light,"Kraft Foods, Inc.",215,16.2,9.5,16.3
1190,Kraft Singles American Nonfat,"Kraft Foods, Inc.",148,11.7,1.0,22.7
1191,Velveeta Cheese Spread,"Kraft Foods, Inc.",303,9.8,22.0,16.3
1192,Velveeta Light Reduced Fat Cheese Product,"Kraft Foods, Inc.",222,11.8,10.6,19.6
1193,KRAFT BREAKSTONE'S Reduced Fat Sour Cream,"Kraft Foods, Inc.",152,6.5,12.0,4.5
1194,KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,"Kraft Foods, Inc.",91,15.1,1.3,4.7
1199,"Cream, half and half, fat free",,59,9.0,1.4,2.6
1200,Reddi Wip Fat Free Whipped Topping,,149,25.0,5.0,3.0
1202,"Milk, chocolate, fluid, commercial, reduced fat, with added calcium",,78,12.13,1.9,2.99
1203,"Yogurt, fruit, lowfat, with low calorie sweetener",,105,18.6,1.41,4.86
1204,"Parmesan, dry grated (reduced fat)",,265,1.37,20.0,20.0
1205,"Cream substitute, flavored, liquid",,251,35.07,13.5,0.69
1206,"Cream substitute, flavored, powdered",,482,75.42,21.47,0.68
1208,Provolone (reduced fat),,274,3.5,17.6,24.7
1209,Mexican Cheese Blend (reduced fat),,282,3.41,19.4,24.69
1211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",,61,4.78,3.27,3.15
1212,"Milk, dry, whole, without added vitamin D",,496,38.42,26.71,26.32
1215,"Cheese product, pasteurized process, American, reduced fat, fortified with vitamin D",,240,10.6,14.1,17.6
1216,"Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D",,99,18.64,1.15,3.98
1217,"Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D",,102,19.05,1.08,4.37
1218,"Yogurt, fruit variety, nonfat, fortified with vitamin D",,95,19.0,0.2,4.4
1219,"Yogurt, fruit, lowfat, with low calorie sweetener, fortified with vitamin D",,105,18.6,1.41,4.86
1220,"Yogurt, vanilla, low fat, fortified with vitamin D",,85,13.8,1.25,4.93
1221,"Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D",,43,7.5,0.18,3.86
1222,"Yogurt, chocolate, nonfat milk, fortified with vitamin D",,112,23.53,0.0,3.53
1223,"Protein supplement, milk based, Muscle Milk, powder",,411,18.5,17.14,45.71
1224,"Protein supplement, milk based, Muscle Milk Light, powder",,396,22.0,12.0,50.0
1225,Dulce de Leche,,315,55.35,7.35,6.84
1226,"Egg substitute, liquid or frozen, fat free",,48,2.0,0.0,10.0
1227,Queso Seco,,325,2.04,24.35,24.51
1228,Queso Fresco,,299,2.98,23.82,18.09
1229,Queso Blanco,,310,2.53,24.31,20.38
1230,"Milk, buttermilk, fluid, whole",,62,4.88,3.31,3.21
1231,"Yogurt, vanilla flavor, lowfat milk, sweetened with low calorie sweetener",,86,13.8,1.25,4.93
1235,"Yogurt, frozen, flavors not chocolate, nonfat milk, with low-calorie sweetener",,104,19.7,0.8,4.4
1236,"Ice cream, soft serve, chocolate",,222,22.2,13.0,4.1
1237,"Ice cream, bar or stick, chocolate covered",,331,24.5,24.1,4.1
1238,Ice cream sandwich,,237,37.14,8.57,4.29
1239,Ice cream cookie sandwich,,240,39.6,7.4,3.7
1240,"Ice cream cone, chocolate covered, with nuts, flavors other than chocolate",,354,34.38,21.88,5.21
1241,"Ice cream sandwich, made with light ice cream, vanilla",,186,39.64,3.04,4.29
1242,"Ice cream sandwich, vanilla, light, no sugar added",,200,42.86,2.86,5.71
1243,"Fat free ice cream, no sugar added, flavors other than chocolate",,133,28.86,0.0,4.41
1244,"Milk dessert bar, frozen, made from lowfat milk",,147,32.0,1.47,4.41
1249,"Yogurt, Greek, 2% fat,mixed berry blend, CHOBANI",Chobani,93,10.94,1.83,8.26
1250,"Nutritional supplement for people with diabetes, liquid",,88,11.88,3.08,4.4
1251,Mexican Cheese Blend,,384,0.13,32.14,23.54
1252,American Cheese product with vitamin D,,307,8.85,23.06,16.09
1253,American,,371,3.7,31.79,18.13
1254,American Cheese Food,,330,8.56,25.63,16.86
1255,"Egg, whole, raw, frozen, salted, pasteurized",,138,0.83,10.07,10.97
1256,"Yogurt, Greek, plain, nonfat (Includes foods for USDA's Food Distribution Program)",,59,3.6,0.39,10.19
1258,"Egg, white, dried, stabilized, glucose reduced",,357,4.51,0.32,84.08
1259,American or Cheddar Cheese spread (reduced fat),,176,10.71,8.88,13.41
1260,Cheddar (reduced fat),,316,2.67,20.41,27.35
1263,"Ice cream, light, soft serve, chocolate",,141,23.15,3.69,3.36
1264,"Ice cream bar, stick or nugget, with crunch coating",,358,37.12,25.26,2.11
1265,Cheddar (nonfat or fat free),,157,7.14,0.0,32.14
1266,Swiss Cheese (nonfat or fat free),,127,3.4,0.0,28.4
1267,Queso Cotija,,366,3.97,30.0,20.0
1270,"Cheddar, sharp",,410,2.13,33.82,24.25
1275,"Yogurt, Greek, nonfat, vanilla, CHOBANI",Chobani,71,8.09,0.22,9.07
1276,"Yogurt, Greek, strawberry, DANNON OIKOS",Danone,106,11.67,2.92,8.25
1278,"Yogurt, Greek, nonfat, vanilla, DANNON OIKOS",Danone,85,12.72,0.14,8.12
1280,"Yogurt, Greek, nonfat, strawberry, DANNON OIKOS",Danone,84,12.53,0.22,8.03
1284,"Yogurt, Greek, strawberry, lowfat",,105,12.29,2.57,8.17
1285,"Yogurt, Greek, strawberry, nonfat",,82,12.07,0.15,8.05
1286,"Yogurt, Greek, vanilla, nonfat",,78,10.37,0.18,8.64
1287,"Yogurt, Greek, plain, lowfat",,73,3.94,1.92,9.95
1289,"Kefir, lowfat, plain, LIFEWAY",Lifeway,43,4.77,1.02,3.79
1290,"Kefir, lowfat, strawberry, LIFEWAY",,62,10.2,0.9,3.39
1291,"Milk, evaporated, 2% fat, with added vitamin A and vitamin D",,107,15.74,2.0,6.67
1292,"Milk, chocolate, fat free, with added vitamin A and vitamin D",,67,13.46,0.0,3.39
1293,"Yogurt, Greek, plain, whole milk",,97,3.98,5.0,9.0
1294,"Yogurt, Greek, fruit, whole milk",,106,12.29,3.0,7.33
1295,"Yogurt, vanilla, non-fat",,78,17.04,0.0,2.94
1297,"Yogurt, Greek, vanilla, lowfat",,95,9.54,2.5,8.64
1298,"Yogurt, frozen, flavors other than chocolate, lowfat",,139,21.0,2.5,8.0
1300,"Ice cream bar, covered with chocolate and nuts",,303,11.89,25.84,5.62
1301,Ice cream sundae cone,,254,28.89,14.0,3.0
1302,"Light ice cream, Creamsicle",,165,32.75,3.08,1.54
1303,"Cream, half and half, lowfat",,72,3.33,5.0,3.33
1304,"Yogurt, Greek, 2% fat, pineapple, CHOBANI",Chobani,94,12.27,1.82,7.05
1305,"Milk, chocolate, lowfat, reduced sugar",,57,7.68,1.04,3.43
1306,"Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce",,265,40.01,9.33,5.33
1307,"Yogurt, Greek, 2% fat, strawberry banana, CHOBANI",Chobani,88,10.24,1.71,8.0
1308,"Yogurt, Greek, whole, plain, CHOBANI",Chobani,82,3.24,4.01,8.24
1312,"Yogurt, Greek, nonfat, lemon blend, CHOBANI",Chobani,78,10.66,0.15,8.62
1313,"Yogurt, Greek, nonfat, peach, CHOBANI",Chobani,80,11.9,0.11,7.76
1314,"Yogurt, Greek, nonfat, plain, CHOBANI",Chobani,54,3.43,0.24,9.53
1316,"Yogurt, Greek, nonfat, raspberry, CHOBANI",Chobani,81,11.98,0.22,7.65
1319,"Yogurt, Greek, nonfat, Fruit on Bottom, Pomegranate, CHOBANI",Chobani,80,12.13,0.18,7.45
1320,"Yogurt, Greek, Blueberry, CHOBANI",Chobani,82,12.78,0.24,7.23
1321,"Yogurt, Greek, nonfat, Fruit on Bottom, Strawberry, CHOBANI",Chobani,79,11.86,0.23,7.28
1322,"Yogurt, Greek, nonfat, Fruit on Bottom, Blackberry, CHOBANI",Chobani,95,15.43,0.37,7.54
1323,"Butter, Clarified butter (ghee)",,900,0.0,100.0,0.0
2001,"Spices, allspice, ground",,263,72.12,8.69,6.09
2002,"Spices, anise seed",,337,50.02,15.9,17.6
2003,"Spices, basil, dried",,233,47.75,4.07,22.98
2004,"Spices, bay leaf",,313,74.97,8.36,7.61
2005,"Spices, caraway seed",,333,49.9,14.59,19.77
2006,"Spices, cardamom",,311,68.47,6.7,10.76
2007,"Spices, celery seed",,392,41.35,25.27,18.07
2008,"Spices, chervil, dried",,237,49.1,3.9,23.2
2009,"Spices, chili powder",,282,49.7,14.28,13.46
2010,"Spices, cinnamon, ground",,247,80.59,1.24,3.99
2011,"Spices, cloves, ground",,274,65.53,13.0,5.97
2012,"Spices, coriander leaf, dried",,279,52.1,4.78,21.93
2013,"Spices, coriander seed",,298,54.99,17.77,12.37
2014,"Spices, cumin seed",,375,44.24,22.27,17.81
2015,"Spices, curry powder",,325,55.83,14.01,14.29
2016,"Spices, dill seed",,305,55.17,14.54,15.98
2017,"Spices, dill weed, dried",,253,55.82,4.36,19.96
2018,"Spices, fennel seed",,345,52.29,14.87,15.8
2019,"Spices, fenugreek seed",,323,58.35,6.41,23.0
2020,"Spices, garlic powder",,331,72.73,0.73,16.55
2021,"Spices, ginger, ground",,335,71.62,4.24,8.98
2022,"Spices, mace, ground",,475,50.5,32.38,6.71
2023,"Spices, marjoram, dried",,271,60.56,7.04,12.66
2024,"Spices, mustard seed, ground",,508,28.09,36.24,26.08
2025,"Spices, nutmeg, ground",,525,49.29,36.31,5.84
2026,"Spices, onion powder",,341,79.12,1.04,10.41
2027,"Spices, oregano, dried",,265,68.92,4.28,9.0
2028,"Spices, paprika",,282,53.99,12.89,14.14
2029,"Spices, parsley, dried",,292,50.64,5.48,26.63
2030,"Spices, pepper, black",,251,63.95,3.26,10.39
2031,"Spices, pepper, red or cayenne",,318,56.63,17.27,12.01
2032,"Spices, pepper, white",,296,68.61,2.12,10.4
2033,"Spices, poppy seed",,525,28.13,41.56,17.99
2034,"Spices, poultry seasoning",,307,65.59,7.53,9.59
2035,"Spices, pumpkin pie spice",,342,69.28,12.6,5.76
2036,"Spices, rosemary, dried",,331,64.06,15.22,4.88
2037,"Spices, saffron",,310,65.37,5.85,11.43
2038,"Spices, sage, ground",,315,60.73,12.75,10.63
2039,"Spices, savory, ground",,272,68.73,5.91,6.73
2041,"Spices, tarragon, dried",,295,50.22,7.24,22.77
2042,"Spices, thyme, dried",,276,63.94,7.43,9.11
2043,"Spices, turmeric, ground",,312,67.14,3.25,9.68
2044,"Basil, fresh",,23,2.65,0.64,3.15
2045,"Dill weed, fresh",,43,7.02,1.12,3.46
2046,"Mustard, prepared, yellow",,60,5.83,3.34,3.74
2047,"Salt, table",,0,0.0,0.0,0.0
2048,"Vinegar, cider",,21,0.93,0.0,0.0
2049,"Thyme, fresh",,101,24.45,1.68,5.56
2050,Vanilla extract,,288,12.65,0.06,0.06
2051,"Vanilla extract, imitation, alcohol",,237,2.41,0.0,0.05
2052,"Vanilla extract, imitation, no alcohol",,56,14.4,0.0,0.03
2053,"Vinegar, distilled",,18,0.04,0.0,0.0
2054,"Capers, canned",,23,4.89,0.86,2.36
2055,"Horseradish, prepared",,48,11.29,0.69,1.18
2063,"Rosemary, fresh",,131,20.7,5.86,3.31
2064,"Peppermint, fresh",,70,14.89,0.94,3.75
2065,"Spearmint, fresh",,44,8.41,0.73,3.29
2066,"Spearmint, dried",,285,52.04,6.03,19.93
2068,"Vinegar, red wine",,19,0.27,0.0,0.04
2069,"Vinegar, balsamic",,88,17.03,0.0,0.49
2074,"Seasoning mix, dry, sazon, coriander & annatto",,0,0.0,0.0,0.0
2075,"Seasoning mix, dry, taco, original",,322,58.0,0.0,4.5
2076,"Seasoning mix, dry, chili, original",,335,56.56,7.3,10.82
3000,Clif Z bar,,416,74.72,9.72,5.55
3217,Zwieback,,426,74.2,9.7,10.1
3389,"Toddler formula, MEAD JOHNSON, Nutramigen Toddler with LGG Powder, with ARA and DHA, not reconstituted",,485,61.97,21.0,12.0
3392,"Toddler drink, MEAD JOHNSON, PurAmino Toddler Powder, with ARA and DHA, not reconstituted",,512,55.68,26.0,13.9
3860,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed",ABBOT NUTRTION,99,11.15,4.77,2.86
3870,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber",ABBOT NUTRTION,99,11.28,4.7,2.8
3967,"Toddler formula, MEAD JOHNSON, ENFAGROW, Toddler Transitions, with ARA and DHA, powder",,505,52.8,26.9,12.9
3968,"Toddler formula, MEAD JOHNSON, ENFAGROW PREMIUM (formerly ENFAMIL, LIPIL, NEXT STEP), ready-to-feed",,64,7.18,3.63,1.78
4001,"Fat, beef tallow",,902,0.0,100.0,0.0
4002,Lard,,902,0.0,100.0,0.0
4011,"Salad dressing, KRAFT Mayo Light Mayonnaise","Kraft Foods, Inc.",334,8.5,32.9,0.6
4013,"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing","Kraft Foods, Inc.",64,15.8,0.0,0.2
4014,"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing","Kraft Foods, Inc.",84,15.5,2.7,0.2
4015,"Salad dressing, russian dressing",,355,31.9,26.18,0.69
4016,"Salad dressing, sesame seed dressing, regular",,443,8.6,45.2,3.1
4017,"Salad dressing, thousand island, commercial, regular",,379,14.64,35.06,1.09
4018,"Salad dressing, mayonnaise type, regular, with salt",,250,14.78,21.6,0.65
4020,"Salad dressing, french dressing, reduced fat",,222,31.22,11.52,0.58
4021,"Salad dressing, italian dressing, commercial, reduced fat",,102,9.99,6.68,0.39
4022,"Salad dressing, russian dressing, low calorie",,141,27.6,4.0,0.5
4023,"Salad dressing, thousand island dressing, reduced fat",,195,24.06,11.32,0.83
4025,"Salad dressing, mayonnaise, regular",,680,0.57,74.85,0.96
4026,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",,717,2.7,79.4,1.1
4027,"Salad dressing, mayonnaise, imitation, soybean",,232,16.0,19.2,0.3
4028,"Salad dressing, mayonnaise, imitation, milk cream",,97,11.1,5.1,2.1
4029,"Salad dressing, mayonnaise, imitation, soybean without cholesterol",,482,15.8,47.7,0.1
4030,"Sandwich spread, with chopped pickle, regular, unspecified oils",,389,22.4,34.0,0.9
4031,"Shortening, household, soybean (partially hydrogenated)-cottonseed (partially hydrogenated)",,884,0.0,100.0,0.0
4034,"Oil, soybean, salad or cooking, (partially hydrogenated)",,884,0.0,100.0,0.0
4037,"Oil, rice bran",,884,0.0,100.0,0.0
4038,"Oil, wheat germ",,884,0.0,100.0,0.0
4042,"Oil, peanut, salad or cooking",,884,0.0,100.0,0.0
4044,"Oil, soybean, salad or cooking",,884,0.0,100.0,0.0
4047,"Oil, coconut",,892,0.0,99.06,0.0
4053,"Oil, olive, salad or cooking",,884,0.0,100.0,0.0
4055,"Oil, palm",,884,0.0,100.0,0.0
4058,"Oil, sesame, salad or cooking",,884,0.0,100.0,0.0
4060,"Oil, sunflower, linoleic (less than 60%)",,884,0.0,100.0,0.0
4073,"Margarine, regular, hard, soybean (hydrogenated)",,719,0.9,80.5,0.9
4114,"Salad dressing, italian dressing, commercial, regular",,240,12.12,21.12,0.41
4120,"Salad dressing, french dressing, commercial, regular",,419,18.79,39.07,0.87
4128,"Margarine,spread, 35-39% fat, tub",,349,1.52,37.98,0.23
4133,"Salad dressing, french, home recipe",,631,3.4,70.2,0.1
4135,"Salad dressing, home recipe, vinegar and oil",,449,2.5,50.1,0.0
4141,"Salad dressing, french dressing, commercial, regular, without salt",,459,15.58,44.81,0.77
4142,"Salad dressing, french dressing, reduced fat, without salt",,233,29.28,13.46,0.58
4143,"Salad dressing, italian dressing, commercial, regular, without salt",,292,10.43,28.37,0.38
4144,"Salad dressing, italian dressing, reduced fat, without salt",,76,4.57,6.38,0.47
4145,"Salad dressing, mayonnaise, soybean oil, without salt",,717,2.7,79.4,1.1
4146,"Salad dressing, french, cottonseed, oil, home recipe",,631,3.4,70.2,0.1
4367,"Salad dressing, french dressing, fat-free",,132,32.14,0.27,0.2
4501,"Oil, cocoa butter",,884,0.0,100.0,0.0
4502,"Oil, cottonseed, salad or cooking",,884,0.0,100.0,0.0
4506,"Oil, sunflower, linoleic, (approx. 65%)",,884,0.0,100.0,0.0
4510,"Oil, safflower, salad or cooking, linoleic, (over 70%)",,884,0.0,100.0,0.0
